hour,minute,day,month,year,site_id_ttl,irradiance_wm2,rainfall_mm,relative_humidity_pct,sea_level_pressure_hpa,temperature_c,visibility_km,wind_speed_ms,normalized_generation
11,45,1,1,2023,SQ1,281.35,0.0,52.073,1009.27913,18.866,15.986,2.2965,0.0881521739130434051
12,0,1,1,2023,SQ1,259.39,0.0,52.364,1009.34913,18.855,15.986,3.1112,0.0839855072463767949
12,15,1,1,2023,SQ1,258.28,0.0,52.117,1009.29913,18.776,15.985,2.5695,0.0715942028985507017
12,30,1,1,2023,SQ1,261.7,0.0,53.561,1009.22913,18.944,15.985,1.7123,0.0842028985507246031
12,45,1,1,2023,SQ1,312.69,0.0,52.956,1009.19913,19.224,15.985,2.33,0.0648188405797101019
13,0,1,1,2023,SQ1,307.07,0.0,51.175,1008.93913,19.546,15.986,3.3662,0.1006159420289854944
13,15,1,1,2023,SQ1,386.54,0.0,50.707,1009.01913,19.682,15.986,2.2517,0.1300362318840579123
13,30,1,1,2023,SQ1,387.53,0.0,48.491,1008.83913,20.723,15.991,2.1375,0.1103985507246375980
13,45,1,1,2023,SQ1,342.6,0.0,48.13,1008.64913,20.82,15.99,2.6566,0.0711594202898550021
14,0,1,1,2023,SQ1,326.92,0.0,48.44,1008.56913,20.469,15.99,2.4886,0.0992753623188405016
14,15,1,1,2023,SQ1,332.21,0.0,49.592,1008.60913,20.468,15.989,2.2536,0.0872826086956521030
14,30,1,1,2023,SQ1,247.77,0.0,48.394,1008.62913,20.132,15.989,1.6381,0.0827536231884058032
14,45,1,1,2023,SQ1,232.65,0.0,48.899,1008.70913,20.246,15.99,1.7859,0.0756521739130433940
15,0,1,1,2023,SQ1,260.58,0.0,49.502,1008.65913,20.144,15.989,2.22,0.0758695652173912993
15,15,1,1,2023,SQ1,198.76,0.0,49.917,1008.66913,19.73,15.99,3.6299,0.0555072463768115018
15,30,1,1,2023,SQ1,186.85,0.0,54.84,1008.73913,18.946,15.987,1.4793,0.0580797101449275002
15,45,1,1,2023,SQ1,155.51,0.0,54.069,1008.76913,18.824,15.983,2.8377,0.0441304347826085991
16,0,1,1,2023,SQ1,135.76,0.0,54.722,1008.73913,18.493,15.981,3.8943,0.0388405797101449013
16,15,1,1,2023,SQ1,138.41,0.0,55.923,1008.86913,18.094,15.982,3.6327,0.0408333333333332979
16,30,1,1,2023,SQ1,145.37,0.0,56.117,1008.91913,18.053,15.982,2.3481,0.0437681159420289026
16,45,1,1,2023,SQ1,73.292,0.0,56.332,1008.95913,18.1,15.983,2.2228,0.0148188405797100992
17,0,1,1,2023,SQ1,50.889,0.0,59.276,1009.10913,17.261,15.983,1.9856,0.0108695652173913006
17,15,1,1,2023,SQ1,50.559,0.0,60.685,1009.12913,16.925,15.982,2.9324,0.0072463768115942004
17,30,1,1,2023,SQ1,29.143,0.0,62.678,1009.17913,16.209,15.983,3.1026,0.0007971014492753001
17,45,1,1,2023,SQ1,19.871,0.0,61.996,1009.12913,16.109,15.978,4.9807,0.0000000000000000000
18,0,1,1,2023,SQ1,17.222,0.0,63.522,1009.24913,15.888,15.979,3.4185,0.0000000000000000000
18,15,1,1,2023,SQ1,16.119,0.0,65.617,1009.25913,15.766,15.979,2.4805,0.0000000000000000000
18,30,1,1,2023,SQ1,16.119,0.0,65.662,1009.33913,15.722,15.969,2.2925,0.0000000000000000000
18,45,1,1,2023,SQ1,16.23,0.0,66.797,1009.42913,15.468,15.756,2.4762,0.0000000000000000000
19,0,1,1,2023,SQ1,16.34,0.0,66.397,1009.38913,15.616,15.981,3.5331,0.0000000000000000000
19,15,1,1,2023,SQ1,16.562,0.0,65.054,1009.38913,15.572,15.981,4.3325,0.0000000000000000000
19,30,1,1,2023,SQ1,16.562,0.0,63.196,1009.52913,15.796,15.981,3.2242,0.0000000000000000000
19,45,1,1,2023,SQ1,16.893,0.0,65.144,1009.57913,15.807,15.981,2.4562,0.0000000000000000000
20,0,1,1,2023,SQ1,17.004,0.0,65.133,1009.70913,15.807,15.981,2.0554,0.0000000000000000000
20,15,1,1,2023,SQ1,17.445,0.0,66.196,1009.59913,16.02,15.981,3.26,0.0000000000000000000
